,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
102,102.0,1068.28,1068.45,1063.8,1064.2,11668.57,1556.88
103,103.0,1064.42,1066.71,1064.01,1066.55,4827.76,2648.75
104,104.0,1066.47,1066.63,1050.66,1051.07,12945.52,1784.73
105,105.0,1050.82,1057.95,1050.42,1057.79,15403.23,2221.58
106,106.0,1057.71,1057.87,1039.71,1040.11,7836.42,2499.12
107,107.0,1039.68,1039.84,1028.17,1028.57,7654.12,2272.47
108,108.0,1028.6,1028.76,1020.12,1020.52,13627.85,1918.36
109,109.0,1020.41,1029.41,1020.0,1029.24,11973.68,2340.31
110,110.0,1029.17,1037.65,1028.76,1037.49,16035.51,2043.38
111,111.0,1037.46,1037.62,1019.61,1020.01,5002.22,1972.85
112,112.0,1020.11,1020.27,1016.09,1016.49,13494.0,1258.74
113,113.0,1016.55,1016.71,1011.19,1011.6,15907.11,2278.81
114,114.0,1011.42,1011.58,1007.28,1007.68,17606.13,2221.55
115,115.0,1007.53,1007.69,1005.84,1006.24,9813.79,2130.41
116,116.0,1006.07,1016.18,1005.67,1016.02,16135.26,1720.64
117,117.0,1015.78,1026.98,1015.37,1026.82,11982.09,2176.57
118,118.0,1027.03,1027.19,1022.81,1023.21,13865.9,1769.48
119,119.0,1023.12,1023.29,1016.4,1016.8,14170.33,2171.37
120,120.0,1016.75,1023.34,1016.35,1023.17,11256.16,1871.45
121,121.0,1023.41,1023.57,1008.05,1008.45,3631.02,1959.89
122,122.0,1008.15,1008.31,988.33,988.73,9584.81,2280.54
123,123.0,988.31,1010.27,987.91,1010.11,13819.59,1944.56
124,124.0,1009.95,1010.12,1007.46,1007.87,10914.17,1953.54
125,125.0,1007.87,1008.03,997.84,998.24,6370.29,1523.33
126,126.0,998.47,998.64,974.69,975.09,9826.95,2150.44
127,127.0,975.29,975.45,966.81,967.21,5680.68,1873.3
128,128.0,966.71,967.94,966.31,967.78,20915.18,1895.53
129,129.0,967.67,973.62,967.27,973.46,16198.34,1894.88
130,130.0,973.77,986.78,973.37,986.62,7373.77,2562.29
131,131.0,986.92,987.16,986.52,987.0,8820.77,1762.62
132,132.0,987.11,987.28,977.69,978.09,10016.28,2698.94
133,133.0,978.4,978.56,976.2,976.6,15543.56,2124.62
134,134.0,977.03,977.19,961.47,961.88,14524.3,2049.48
135,135.0,961.81,967.43,961.41,967.27,17746.89,1491.4
136,136.0,967.3,982.36,966.89,982.19,12737.2,2704.51
137,137.0,982.24,982.4,974.94,975.34,14156.26,1458.62
138,138.0,975.25,979.56,974.85,979.4,9611.33,2766.04
139,139.0,979.19,985.49,978.78,985.33,9339.98,2762.54
140,140.0,985.29,994.58,984.89,994.42,4684.32,2605.33
141,141.0,994.2,995.15,993.8,994.99,4723.58,2212.88
142,142.0,994.98,1000.09,994.57,999.93,10842.93,1731.28
143,143.0,999.76,999.93,992.86,993.27,5589.83,2561.56
144,144.0,993.05,993.21,985.07,985.48,15984.24,2142.97
145,145.0,985.43,990.63,985.03,990.47,15894.71,2487.81
146,146.0,990.37,990.53,983.03,983.43,13193.96,2670.7
147,147.0,983.75,983.92,979.13,979.53,6999.65,1779.62
148,148.0,979.35,987.37,978.95,987.21,9020.99,2001.16
149,149.0,987.35,987.52,960.51,960.91,14729.51,1994.1
150,150.0,961.24,964.61,960.84,964.45,6849.72,1979.57
151,151.0,964.33,968.53,963.93,968.37,9104.47,1899.96
152,152.0,968.73,979.63,968.33,979.47,14454.04,1670.56
153,153.0,979.65,983.77,979.25,983.61,19356.12,1998.29
154,154.0,983.24,992.43,982.84,992.27,6685.42,2035.6
155,155.0,992.09,1000.63,991.69,1000.47,3442.37,1637.32
156,156.0,1000.53,1000.69,991.01,991.42,11079.53,2489.2
157,157.0,991.44,991.6,988.91,989.32,12344.35,1798.65
158,158.0,989.18,993.29,988.78,993.13,5583.8,2301.47
159,159.0,993.4,1017.05,993.0,1016.89,5737.28,1936.37
160,160.0,1017.06,1027.82,1016.66,1027.66,15393.13,2220.97
161,161.0,1027.47,1035.26,1027.06,1035.1,11135.89,1619.67
162,162.0,1035.25,1043.38,1034.84,1043.22,10283.49,1988.26
163,163.0,1043.22,1064.59,1042.82,1064.43,3700.16,2701.97
164,164.0,1063.98,1064.14,1053.05,1053.46,7028.97,2367.07
165,165.0,1053.66,1056.08,1053.26,1055.92,14507.71,2601.32
166,166.0,1055.92,1056.08,1043.75,1044.15,8711.29,2580.94
167,167.0,1044.31,1052.01,1043.91,1051.84,6252.23,2379.6
168,168.0,1051.48,1051.64,1038.85,1039.26,10835.03,2100.05
169,169.0,1039.23,1039.39,1029.91,1030.31,6817.77,1508.82
170,170.0,1030.01,1030.18,1029.61,1030.02,9762.35,1323.4
171,171.0,1029.8,1029.96,1022.19,1022.59,9476.6,1820.29
172,172.0,1022.41,1035.17,1022.01,1035.01,4955.99,2645.69
173,173.0,1034.86,1038.91,1034.46,1038.75,16507.09,2206.52
174,174.0,1038.45,1051.51,1038.05,1051.35,9876.85,2132.19
175,175.0,1051.58,1051.74,1041.39,1041.79,3350.82,1242.38
176,176.0,1041.62,1041.78,1017.8,1018.2,7448.41,1497.26
177,177.0,1018.03,1033.89,1017.63,1033.73,5304.53,1788.26
178,178.0,1033.85,1052.98,1033.44,1052.82,7285.27,1874.46
179,179.0,1052.89,1054.25,1052.49,1054.09,8680.26,1474.58
180,180.0,1054.11,1054.27,1044.46,1044.86,14845.87,1582.15
181,181.0,1044.59,1044.75,1022.03,1022.43,4218.81,2327.91
182,182.0,1022.2,1023.82,1021.79,1023.66,-714.91,2376.65
183,183.0,1023.72,1026.02,1023.31,1025.86,3948.11,2262.5
184,184.0,1025.9,1026.06,1020.01,1020.41,1989.9,2731.14
185,185.0,1020.29,1038.63,1019.88,1038.47,18244.3,2754.63
186,186.0,1038.4,1038.56,1017.78,1018.18,13234.74,1143.57
187,187.0,1017.93,1018.09,1015.41,1015.82,6991.02,2136.97
188,188.0,1015.96,1029.66,1015.55,1029.5,8368.27,1538.48
189,189.0,1029.58,1029.74,1027.42,1027.82,8673.14,1915.01
190,190.0,1027.92,1028.08,1027.08,1027.48,6287.9,2143.5
191,191.0,1027.44,1034.13,1027.03,1033.97,7504.07,2000.57
192,192.0,1034.06,1034.22,1007.02,1007.42,16846.24,1905.43
193,193.0,1007.55,1007.71,1005.26,1005.66,14794.12,2119.17
194,194.0,1005.85,1006.01,1000.82,1001.22,13304.73,2448.96
195,195.0,1001.16,1001.32,993.55,993.95,6978.26,1939.09
196,196.0,994.04,1008.7,993.64,1008.54,14115.44,1555.24
197,197.0,1008.49,1008.66,997.84,998.24,6504.56,2005.86
198,198.0,997.92,1016.24,997.52,1016.08,9540.34,1668.55
199,199.0,1015.91,1022.34,1015.51,1022.18,6481.51,1466.69
200,200.0,1022.27,1022.43,1019.35,1019.75,17650.19,1785.79
201,201.0,1020.02,1033.24,1019.61,1033.08,7096.3,1875.68
202,202.0,1033.39,1033.55,1028.73,1029.13,9634.28,2178.98
203,203.0,1029.36,1034.9,1028.96,1034.74,14775.88,2584.87
204,204.0,1035.0,1035.16,1028.76,1029.16,18540.99,1867.66
205,205.0,1029.29,1044.27,1028.88,1044.11,6235.96,1781.12
206,206.0,1044.01,1044.17,1043.35,1043.75,13931.13,2228.28
207,207.0,1043.66,1043.82,1043.22,1043.62,11800.59,2262.37
208,208.0,1043.61,1053.12,1043.2,1052.96,12139.82,2834.77
209,209.0,1052.59,1054.51,1052.19,1054.35,969.24,1947.32
210,210.0,1054.01,1066.19,1053.6,1066.03,22795.21,1462.26
211,211.0,1065.89,1066.05,1063.26,1063.66,15674.57,1613.1
212,212.0,1063.58,1063.75,1054.69,1055.09,12563.82,1885.2
213,213.0,1055.17,1068.67,1054.77,1068.51,11483.41,2517.85
214,214.0,1068.45,1068.61,1053.1,1053.5,10693.62,3001.72
215,215.0,1053.42,1064.17,1053.01,1064.01,8353.63,1730.46
216,216.0,1064.19,1068.91,1063.78,1068.74,6847.95,2198.24
217,217.0,1068.66,1072.27,1068.26,1072.11,3693.55,2547.27
218,218.0,1071.96,1072.12,1058.84,1059.24,7353.12,2041.74
219,219.0,1059.52,1063.91,1059.12,1063.75,12248.94,1716.35
220,220.0,1063.73,1063.89,1060.66,1061.06,6756.06,1335.54
221,221.0,1061.25,1082.5,1060.85,1082.34,11987.18,2881.95
222,222.0,1082.57,1082.73,1073.33,1073.73,13051.09,2268.33
223,223.0,1073.76,1073.92,1064.52,1064.92,7574.99,1716.66
224,224.0,1064.85,1080.35,1064.44,1080.19,13995.82,1841.07
225,225.0,1080.08,1103.38,1079.67,1103.22,9618.06,1606.22
226,226.0,1103.09,1103.26,1098.08,1098.49,8729.2,1469.28
227,227.0,1098.28,1110.73,1097.88,1110.56,8982.65,1774.85
228,228.0,1110.44,1118.4,1110.03,1118.24,6249.86,2623.16
229,229.0,1118.43,1120.77,1118.02,1120.61,16376.32,1990.22
230,230.0,1120.85,1121.01,1117.12,1117.52,10221.29,2143.27
231,231.0,1117.32,1125.45,1116.91,1125.28,9668.77,2490.19
232,232.0,1125.24,1125.4,1105.31,1105.72,10101.65,2724.37
233,233.0,1105.48,1115.36,1105.08,1115.2,10255.3,1700.76
234,234.0,1115.28,1125.48,1114.87,1125.32,14170.77,2008.59
235,235.0,1125.29,1130.74,1124.88,1130.58,10001.75,2058.1
236,236.0,1130.88,1131.28,1130.47,1131.12,10725.83,2141.47
237,237.0,1131.34,1131.5,1126.26,1126.66,7636.08,2439.75
238,238.0,1126.43,1137.15,1126.03,1136.99,999.39,2094.93
239,239.0,1136.96,1155.48,1136.56,1155.32,5143.09,2048.3
240,240.0,1155.56,1156.6,1155.16,1156.43,4986.22,1805.52
241,241.0,1156.29,1156.45,1139.21,1139.61,11010.94,2139.6
242,242.0,1139.64,1139.8,1131.73,1132.13,17475.28,2174.69
243,243.0,1131.95,1132.12,1122.35,1122.75,8998.44,1791.96
244,244.0,1122.78,1128.02,1122.37,1127.86,15064.33,2450.37
245,245.0,1127.39,1127.55,1116.42,1116.83,4681.32,2415.37
246,246.0,1117.28,1127.66,1116.88,1127.5,12426.38,1599.9
247,247.0,1127.19,1127.35,1116.14,1116.54,11388.48,1674.65
248,248.0,1116.84,1122.81,1116.44,1122.64,4859.88,1922.42
249,249.0,1122.54,1133.11,1122.14,1132.95,12126.46,2492.45
250,250.0,1132.82,1136.47,1132.42,1136.31,9983.32,2450.28
251,251.0,1136.46,1150.34,1136.06,1150.18,10221.83,2439.16
252,252.0,1150.0,1165.8,1149.6,1165.63,4824.62,1849.55
253,253.0,1165.6,1165.76,1152.33,1152.73,11315.56,1881.38
254,254.0,1153.16,1153.32,1144.18,1144.58,15272.82,2107.62
255,255.0,1144.9,1145.06,1130.98,1131.39,5905.0,1454.95
256,256.0,1131.42,1131.58,1128.86,1129.26,1833.46,2149.04
257,257.0,1129.05,1129.22,1110.25,1110.66,4482.42,1469.73
258,258.0,1110.34,1113.52,1109.93,1113.36,16958.48,2381.35
259,259.0,1113.7,1114.11,1113.3,1113.95,13614.89,2200.69
260,260.0,1113.6,1113.77,1111.2,1111.61,5747.48,1918.19
261,261.0,1111.88,1119.1,1111.48,1118.94,9844.38,1856.07
262,262.0,1118.89,1120.67,1118.48,1120.51,4987.31,2164.85
263,263.0,1120.55,1129.62,1120.15,1129.46,9135.05,1605.79
264,264.0,1129.41,1133.81,1129.01,1133.65,4111.28,2362.95
265,265.0,1133.67,1144.12,1133.27,1143.96,5106.66,2024.67
266,266.0,1143.82,1143.98,1132.17,1132.58,17387.49,2181.86
267,267.0,1132.78,1133.1,1132.37,1132.94,6338.98,1752.8
268,268.0,1132.97,1133.13,1129.73,1130.13,8370.65,2102.8
269,269.0,1130.42,1137.31,1130.02,1137.15,2237.62,2137.41
270,270.0,1137.06,1137.22,1121.63,1122.03,13196.81,1349.14
271,271.0,1121.85,1123.93,1121.44,1123.77,12416.65,1853.81
272,272.0,1123.44,1129.72,1123.04,1129.56,8774.19,1708.78
273,273.0,1129.23,1129.39,1126.93,1127.33,11179.2,1612.71
274,274.0,1127.53,1134.65,1127.12,1134.48,6724.85,2099.92
275,275.0,1134.53,1154.22,1134.13,1154.06,8380.66,1982.93
276,276.0,1153.81,1153.97,1143.07,1143.47,7245.91,2084.04
277,277.0,1143.46,1143.62,1138.72,1139.12,7245.11,2179.89
278,278.0,1139.23,1146.06,1138.83,1145.9,13360.72,1390.68
279,279.0,1145.66,1145.82,1123.18,1123.58,7117.24,2568.67
280,280.0,1123.67,1123.83,1109.84,1110.25,5188.21,1536.98
281,281.0,1110.64,1110.8,1106.69,1107.09,12534.84,1954.86
282,282.0,1107.19,1112.98,1106.79,1112.82,5272.51,2661.83
283,283.0,1113.05,1115.13,1112.65,1114.97,13303.91,1187.79
284,284.0,1115.14,1115.3,1111.88,1112.28,14922.69,2123.88
285,285.0,1112.43,1117.93,1112.02,1117.77,11180.21,1710.54
286,286.0,1117.78,1134.52,1117.37,1134.36,14462.34,1537.96
287,287.0,1134.34,1143.82,1133.93,1143.66,10071.1,1105.07
288,288.0,1143.58,1158.92,1143.18,1158.76,8659.32,2419.78
289,289.0,1158.51,1158.67,1141.13,1141.54,8656.59,2814.63
290,290.0,1141.63,1141.79,1135.78,1136.18,16228.29,2654.38
291,291.0,1136.34,1140.14,1135.94,1139.98,13615.02,2563.36
292,292.0,1139.95,1140.11,1136.93,1137.33,13397.23,1581.84
293,293.0,1137.44,1146.62,1137.03,1146.46,12638.01,1505.25
294,294.0,1146.29,1146.45,1133.04,1133.44,12186.86,1781.67
295,295.0,1133.42,1133.58,1125.89,1126.29,15965.7,2658.56
296,296.0,1126.13,1129.12,1125.73,1128.95,10894.23,1397.4
297,297.0,1128.87,1136.57,1128.47,1136.4,13901.11,1667.79
298,298.0,1136.55,1151.28,1136.15,1151.11,16433.28,1978.1
299,299.0,1151.24,1151.41,1142.65,1143.05,2889.31,2130.55
300,300.0,1143.01,1149.24,1142.61,1149.08,2764.68,2005.17
301,301.0,1148.93,1158.97,1148.53,1158.81,8360.2,2159.85
302,302.0,1158.7,1168.72,1158.29,1168.56,627.43,2069.72
303,303.0,1168.27,1188.03,1167.87,1187.87,2991.4,2600.46
304,304.0,1187.83,1199.55,1187.43,1199.38,13761.5,1822.78
305,305.0,1199.02,1199.18,1196.37,1196.77,8341.13,1859.33
306,306.0,1196.54,1196.7,1195.19,1195.6,10326.52,2004.35
307,307.0,1195.6,1195.76,1191.31,1191.72,15580.47,2338.52
308,308.0,1191.8,1204.99,1191.4,1204.83,17996.33,1525.14
309,309.0,1204.64,1204.8,1200.46,1200.86,6592.78,1988.16
310,310.0,1200.87,1201.03,1197.35,1197.75,15490.67,1649.34
311,311.0,1197.54,1209.63,1197.13,1209.47,-2090.63,2433.55
312,312.0,1209.38,1209.54,1205.1,1205.5,6950.13,1769.81
313,313.0,1205.65,1211.6,1205.25,1211.44,13878.95,2454.89
314,314.0,1211.17,1211.33,1206.47,1206.88,16791.12,1788.44
315,315.0,1207.04,1211.64,1206.64,1211.48,11834.72,1913.19
316,316.0,1211.53,1215.48,1211.12,1215.32,6707.05,2469.74
317,317.0,1215.36,1222.54,1214.96,1222.38,11857.27,2191.65
318,318.0,1222.26,1224.95,1221.86,1224.79,10105.37,2091.98
319,319.0,1224.92,1225.09,1214.71,1215.12,13277.1,2414.5
320,320.0,1214.87,1216.64,1214.47,1216.48,-1651.86,2591.42
321,321.0,1216.61,1216.77,1207.68,1208.09,10500.95,2527.67
322,322.0,1208.21,1208.37,1196.87,1197.28,7088.19,1492.18
323,323.0,1197.4,1209.7,1197.0,1209.54,13500.85,2221.33
324,324.0,1209.46,1209.62,1192.17,1192.57,10536.29,2074.82
325,325.0,1192.95,1197.79,1192.55,1197.63,12190.06,1686.73
326,326.0,1197.46,1208.86,1197.05,1208.7,13641.42,1942.59
327,327.0,1208.58,1208.74,1206.08,1206.49,8326.92,2036.23
328,328.0,1206.69,1206.85,1200.63,1201.03,1548.43,1726.49
329,329.0,1200.73,1200.89,1193.29,1193.69,9449.91,1548.2
330,330.0,1193.74,1212.6,1193.34,1212.44,12454.87,2424.55
331,331.0,1212.42,1212.58,1208.28,1208.68,8669.06,1731.81
332,332.0,1208.63,1208.79,1202.61,1203.01,11003.8,1096.06
333,333.0,1203.36,1203.52,1190.46,1190.87,6119.43,1938.31
334,334.0,1190.68,1196.44,1190.27,1196.28,7231.01,2659.68
335,335.0,1196.63,1217.77,1196.22,1217.61,5388.34,2034.92
336,336.0,1217.67,1229.88,1217.26,1229.72,16561.87,2178.7
337,337.0,1229.59,1249.21,1229.18,1249.05,8079.77,2850.8
338,338.0,1249.29,1249.45,1240.34,1240.74,6278.51,1889.91
339,339.0,1240.51,1240.67,1240.01,1240.41,8814.73,1731.19
340,340.0,1240.3,1240.46,1235.2,1235.61,1069.09,2084.64
341,341.0,1235.46,1235.62,1234.74,1235.15,17405.37,2145.29
342,342.0,1234.71,1234.87,1224.92,1225.32,12645.31,2696.41
343,343.0,1225.32,1225.48,1212.9,1213.3,9624.81,2415.09
344,344.0,1213.27,1213.43,1209.5,1209.9,11804.65,1653.33
345,345.0,1210.03,1228.42,1209.63,1228.26,18495.82,1780.42
346,346.0,1227.93,1228.09,1215.56,1215.97,15422.3,1928.41
347,347.0,1216.27,1216.43,1202.27,1202.68,9166.59,1865.1
348,348.0,1202.37,1202.53,1201.5,1201.9,13845.53,1335.0
349,349.0,1201.63,1205.6,1201.22,1205.44,2294.29,2087.69
350,350.0,1205.26,1205.42,1195.54,1195.94,-2239.99,2443.91
351,351.0,1195.89,1208.65,1195.49,1208.49,17370.6,2042.21
352,352.0,1208.34,1208.5,1185.33,1185.73,11004.18,1847.87
353,353.0,1186.16,1187.34,1185.76,1187.18,4088.79,2004.02
354,354.0,1187.32,1189.29,1186.91,1189.13,17128.41,2534.2
355,355.0,1189.19,1189.35,1156.82,1157.22,2592.34,1811.65
356,356.0,1157.34,1165.62,1156.94,1165.46,18551.02,1020.79
357,357.0,1165.5,1172.62,1165.1,1172.46,3509.45,1907.98
358,358.0,1172.66,1185.0,1172.26,1184.83,10408.68,1786.3
359,359.0,1184.64,1184.8,1174.76,1175.17,9593.36,1066.51
360,360.0,1175.1,1175.26,1165.81,1166.22,11395.27,2331.94
361,361.0,1166.27,1166.44,1162.39,1162.79,12517.16,1854.05
362,362.0,1162.73,1165.76,1162.33,1165.59,8327.15,1510.81
363,363.0,1165.73,1165.89,1160.37,1160.77,19881.08,2188.38
364,364.0,1160.9,1164.89,1160.5,1164.73,17030.62,1819.76
365,365.0,1165.02,1165.18,1164.55,1164.95,14511.24,1882.8
366,366.0,1164.97,1165.13,1156.55,1156.96,10422.92,2031.28
367,367.0,1157.04,1157.2,1143.26,1143.67,17809.65,2401.99
368,368.0,1143.86,1149.77,1143.46,1149.61,16722.19,1803.44
369,369.0,1149.24,1152.13,1148.84,1151.97,14636.78,1416.19
370,370.0,1152.32,1152.49,1139.6,1140.01,9003.01,2388.34
371,371.0,1140.13,1149.99,1139.73,1149.83,7809.24,2152.97
372,372.0,1149.74,1149.91,1145.96,1146.36,16605.21,2145.58
373,373.0,1146.36,1152.95,1145.96,1152.79,18127.06,1973.18
374,374.0,1152.73,1152.89,1134.88,1135.28,18253.67,1564.26
375,375.0,1135.11,1137.18,1134.71,1137.02,8458.58,1606.01
376,376.0,1136.91,1144.64,1136.51,1144.48,17627.33,2024.67
377,377.0,1143.93,1144.09,1135.93,1136.33,10610.97,1489.47
378,378.0,1136.33,1136.49,1128.59,1128.99,5514.7,2025.2
379,379.0,1129.19,1129.35,1118.03,1118.43,2517.65,2180.34
380,380.0,1118.74,1125.51,1118.33,1125.35,1124.32,1742.54
381,381.0,1125.73,1138.6,1125.33,1138.44,3472.36,2790.94
382,382.0,1138.82,1138.99,1117.52,1117.92,7667.77,2439.12
383,383.0,1118.1,1125.83,1117.7,1125.67,9318.5,1832.02
384,384.0,1125.47,1127.94,1125.07,1127.77,10120.6,2785.81
385,385.0,1127.92,1150.84,1127.51,1150.68,12585.86,2228.67
386,386.0,1150.57,1150.73,1149.13,1149.53,6565.31,1614.96
387,387.0,1149.47,1149.63,1137.81,1138.21,10417.41,1741.95
388,388.0,1138.44,1145.08,1138.03,1144.92,3072.06,2106.74
389,389.0,1144.77,1147.13,1144.37,1146.97,14311.47,2211.44
390,390.0,1146.83,1147.0,1137.77,1138.18,8939.22,1917.38
